Year	Month	treering	D13C
1946	May	-9999	-9999
1946	June	-9999	-9999
1946	July	-9999	-9999
1946	Aug	-9999	-9999
1946	Sep	-9999	-9999
1946	Oct	-9999	-9999
1946	Nov	-9999	-9999
1946	Dec	-9999	-9999
1947	Jan	-9999	-9999
1947	Feb	-9999	-9999
1947	March	-9999	-9999
1947	April	-9999	-9999
1947	May	-9999	-9999
1947	June	-9999	-9999
1947	July	-9999	-9999
1947	Aug	-9999	-9999
1947	Sep	-9999	-9999
1947	Oct	-9999	-9999
1947	Nov	-9999	-9999
1947	Dec	-9999	-9999
1948	Jan	-9999	-9999
1948	Feb	-9999	-9999
1948	March	-9999	-9999
1948	April	-9999	-9999
1948	May	-9999	-9999
1948	June	-9999	-9999
1948	July	-9999	-9999
1948	Aug	-9999	-9999
1948	Sep	-9999	-9999
1948	Oct	-9999	-9999
1948	Nov	-9999	-9999
1948	Dec	-9999	-9999
1949	Jan	-9999	-9999
1949	Feb	-9999	-9999
1949	March	-9999	-9999
1949	April	-9999	-9999
1949	May	-9999	-9999
1949	June	-9999	-9999
1949	July	-9999	-9999
1949	Aug	-9999	-9999
1949	Sep	-9999	-9999
1949	Oct	-9999	-9999
1949	Nov	-9999	-9999
1949	Dec	-9999	-9999
1950	Jan	-9999	-9999
1950	Feb	-9999	-9999
1950	March	-9999	-9999
1950	April	-9999	-9999
1950	May	-9999	-9999
1950	June	-9999	-9999
1950	July	-9999	-9999
1950	Aug	-9999	-9999
1950	Sep	-9999	-9999
1950	Oct	-9999	-9999
1950	Nov	-9999	-9999
1950	Dec	-9999	-9999
1951	Jan	-9999	-9999
1951	Feb	-9999	-9999
1951	March	-9999	-9999
1951	April	-9999	-9999
1951	May	-9999	-9999
1951	June	-9999	-9999
1951	July	-9999	-9999
1951	Aug	-9999	-9999
1951	Sep	-9999	-9999
1951	Oct	-9999	-9999
1951	Nov	-9999	-9999
1951	Dec	-9999	-9999
1952	Jan	-9999	-9999
1952	Feb	-9999	-9999
1952	March	-9999	-9999
1952	April	-9999	-9999
1952	May	-9999	-9999
1952	June	-9999	-9999
